City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,taoudenni,22.6783,-3.9836,299.5,7,58,5.5,ML,1705165134
208,tozkhurmato,34.8905,44.6299,287.73,50,100,6.88,IQ,1705165134
209,mount pleasant,32.7941,-79.8626,285.93,43,0,8.23,US,1705165061
210,linares,-35.85,-71.6,302.17,13,0,3.33,CL,1705165134
211,potiskum,11.7091,11.0694,299.57,8,3,4.16,NG,1705165134
212,hammerfest,70.6634,23.6821,267.4,73,75,5.14,NO,1705165134
213,nizhneangarsk,55.7833,109.55,251.53,89,100,1.03,RU,1705165135
214,nemuro,43.3236,145.575,268.25,67,51,7.43,JP,1705165135
215,happy valley-goose bay,53.3168,-60.3315,259.32,66,20,5.14,CA,1705165023
216,san antonio de pale,-1.4014,5.6325,300.49,72,56,3.59,GQ,1705165135
217,ust-tsilma,65.441,52.1498,263.49,96,100,2.68,RU,1705165135
218,dryden,49.7833,-92.7503,248.31,77,0,1.54,CA,1705165135
219,mount pearl,47.5166,-52.7813,272.29,84,100,5.14,CA,1705165135
220,jamestown,42.097,-79.2353,272.92,84,100,9.26,US,1705164897
221,calama,-22.4667,-68.9333,296.42,31,0,8.23,CL,1705165136
222,atafu village,-8.5421,-172.5159,302.43,75,34,5.62,TK,1705165136
223,hasaki,35.7333,140.8333,272.37,54,47,6.73,JP,1705165136
224,codrington,-38.2667,141.9667,286.94,74,100,6.24,AU,1705165136
225,san luis,-33.295,-66.3356,303.23,41,22,4.79,AR,1705165136
226,muang khong,14.1167,105.85,297.58,55,97,2.3,LA,1705165136
227,muborak,39.2553,65.1528,285.92,34,21,5.57,UZ,1705165136
228,piti village,13.4626,144.6933,300.18,87,20,4.63,GU,1705165137
229,christchurch,-43.5333,172.6333,295.26,43,80,5.14,NZ,1705165064
230,ciudad lazaro cardenas,17.9583,-102.2,299.6,64,95,1.18,MX,1705165137
231,kolokani,13.5728,-8.0339,307.19,7,5,5.91,ML,1705165137
232,dudinka,69.4058,86.1778,237.41,91,44,2.24,RU,1705165137
233,afaahiti,-17.75,-149.2833,298.08,83,97,8.16,PF,1705165137
234,bardai,11.65,7.2333,299.63,8,1,4.16,NG,1705165138
235,fort bragg,35.139,-79.006,285.83,46,0,10.8,US,1705165138
236,belev,53.8119,36.1319,246.64,97,5,1.82,RU,1705165138
237,tinambac,13.8164,123.3261,297.05,90,97,4.89,PH,1705165138
238,nayoro,44.3506,142.4578,262.56,96,77,0.7,JP,1705165138
239,cabinda,-5.55,12.2,304.23,66,20,3.09,AO,1705165138
240,gizo,-8.103,156.8419,301.22,75,99,0.65,SB,1705165138
241,obo,5.3998,26.4869,300.62,25,96,1.72,CF,1705165138
242,koryazhma,61.3143,47.1691,261.99,89,100,3.92,RU,1705165139
243,istgah-e rah ahan-e garmsar,35.2346,52.3094,285.08,38,50,1.79,IR,1705165139
244,miles city,46.4083,-105.8406,244.42,72,32,6.09,US,1705165139
245,shiqian,27.5225,108.2281,288.86,87,100,1.29,CN,1705165139
246,maicao,11.3832,-72.2432,304.69,49,61,6.19,CO,1705165139
247,mandalay,21.9747,96.0836,290.34,67,0,1.15,MM,1705165139
248,sao joao da barra,-21.6403,-41.0511,304.2,84,82,3.64,BR,1705165140
249,weno,7.4515,151.8468,301.12,78,100,4.63,FM,1705165140
250,lebu,-37.6167,-73.65,289.24,70,39,7.58,CL,1705165140
251,umm kaddadah,13.6017,26.6876,295.56,12,18,5.03,SD,1705165140
252,nacozari viejo,30.4,-109.65,284.5,16,40,0.63,MX,1705165140
253,la passe,45.5549,-0.8967,276.28,76,55,3.49,FR,1705165140
254,kosh-agach,50.0,88.6667,254.43,60,100,0.45,RU,1705165140
255,howrah,22.5892,88.3103,287.15,77,0,3.09,IN,1705165141
256,puerto baquerizo moreno,-0.9,-89.6,301.7,74,40,7.2,EC,1705165141
257,mercedes,-34.6515,-59.4307,308.26,22,29,5.02,AR,1705165141
258,ceeldheer,3.8488,47.1806,299.37,81,26,9.71,SO,1705165141
259,arteche,12.2645,125.4048,298.55,87,70,5.53,PH,1705165142
260,bereznik,62.8551,42.7072,260.3,83,100,4.1,RU,1705165142
261,recani,31.2846,-4.2688,291.31,14,12,1.99,MA,1705165142
262,punta arenas,-53.15,-70.9167,286.21,47,40,11.32,CL,1705165143
263,laojunmiao,39.8333,97.7333,269.7,35,50,3.6,CN,1705165143
264,belmonte,-15.8631,-38.8828,302.93,61,12,4.85,BR,1705165143
265,luderitz,-26.6481,15.1594,296.04,60,0,12.87,NA,1705165143
266,chibougamau,49.9168,-74.3659,261.94,85,100,7.2,CA,1705165144
267,aljezur,37.3191,-8.8033,290.41,81,100,5.67,PT,1705165144
268,torrington,41.8007,-73.1212,287.47,94,83,2.24,US,1705165144
269,skovorodino,53.9833,123.9167,254.99,76,100,4.24,RU,1705165144
270,rongelap,11.1635,166.8941,300.24,70,80,8.5,MH,1705165145
271,itoman,26.1247,127.6694,288.37,63,0,1.03,JP,1705165145
272,singkil,-7.9855,111.4161,297.72,89,66,1.98,ID,1705165145
273,bhandara,21.1667,79.65,294.9,49,0,2.29,IN,1705165146
274,saint-pierre,-21.3393,55.4781,299.97,89,75,0.0,RE,1705165146
275,sakaiminato,35.55,133.2333,275.14,87,75,2.57,JP,1705165146
276,arac,41.2422,33.3277,267.72,85,76,0.63,TR,1705165146
277,tutoia,-2.7619,-42.2744,300.5,74,100,2.88,BR,1705165015
278,tlaltenango de sanchez roman,21.7833,-103.3167,294.69,15,61,2.64,MX,1705165147
279,lata,40.1629,-8.3327,288.05,94,100,2.95,PT,1705165147
280,wakkanai,45.4094,141.6739,265.42,86,100,3.58,JP,1705165147
281,enewetak,11.3474,162.3373,300.33,71,20,8.98,MH,1705165148
282,bengkulu,-3.8004,102.2655,298.08,90,98,2.62,ID,1705165148
283,veinticinco de mayo,-35.4323,-60.1727,306.3,29,94,4.65,AR,1705165148
284,vorkuta,67.5,64.0,246.8,93,98,2.3,RU,1705165148
285,colonia,50.9333,6.95,276.46,85,75,4.63,DE,1705164875
286,novaya igirma,57.1334,103.9112,257.42,85,100,3.95,RU,1705165149
287,tamandare,-8.7597,-35.1047,303.04,61,18,5.23,BR,1705165149
288,mar del plata,-38.0023,-57.5575,301.45,57,40,8.49,AR,1705165090
289,phitsanulok,16.9167,100.5,296.44,61,50,1.5,TH,1705165149
290,federacion,-31.0062,-57.8996,302.92,44,0,3.56,AR,1705165149
291,nieuw amsterdam,5.8833,-55.0833,305.24,62,40,2.06,SR,1705165150
292,mbuji-mayi,-6.15,23.6,298.25,77,36,1.4,CD,1705165150
293,amga,60.8953,131.9608,243.85,99,100,0.43,RU,1705165150
294,lai chau,22.3997,103.4517,286.72,96,21,1.44,VN,1705165150
295,gisborne,-38.6533,178.0042,290.95,83,1,3.54,NZ,1705165151
296,cles,46.3667,11.0333,273.59,52,1,2.12,IT,1705165151
297,mesyagutovo,55.5303,58.2528,247.93,97,91,2.33,RU,1705165151
298,shasta lake,40.6804,-122.3708,277.55,93,100,0.39,US,1705165151
299,manggar,-2.8833,108.2667,298.09,89,100,2.02,ID,1705165152
300,castro,-24.7911,-50.0119,297.26,68,99,2.36,BR,1705164947
301,dolores,-36.3132,-57.6792,301.24,38,62,3.74,AR,1705165152
302,sainte-marie,-20.8968,55.5496,300.24,90,75,6.69,RE,1705165152
303,merizo village,13.2658,144.6691,300.0,87,58,7.22,GU,1705165153
304,cascais,38.6979,-9.4215,291.0,93,75,7.15,PT,1705165153
305,newman,37.3138,-121.0208,279.98,88,99,0.45,US,1705165153
306,ponta delgada,37.7333,-25.6667,291.59,88,75,10.29,PT,1705165154
307,garachico,28.7781,-17.7646,294.53,83,20,6.69,ES,1705165154
308,santo antonio do ica,-3.1022,-67.9397,299.27,94,96,2.17,BR,1705165154
309,duzce,40.8389,31.1639,269.86,86,45,1.45,TR,1705165154
310,myeik,12.4333,98.6,298.72,81,77,1.69,MM,1705165095
311,sanand,22.9833,72.3833,294.27,23,32,3.25,IN,1705165155
312,usinsk,65.9939,57.5281,250.41,99,100,5.36,RU,1705165155
313,margaret river,-33.95,115.0667,297.71,55,43,5.26,AU,1705165155
314,arauca,7.0847,-70.7591,305.13,55,20,3.09,CO,1705165156
315,el bauga,18.262,33.9081,297.7,31,92,4.61,SD,1705165156
316,mejit,10.2753,170.8646,299.96,74,100,9.14,MH,1705165156
317,amos,48.5669,-78.1162,269.85,96,100,3.96,CA,1705165157
318,wonsan,39.1528,127.4436,271.53,59,93,3.47,KP,1705165157
319,new norfolk,-42.7826,147.0587,285.87,79,16,1.48,AU,1705165157
320,loikaw,19.6742,97.2094,286.99,48,0,1.58,MM,1705165158
321,nagato,34.3833,131.2,277.26,70,5,2.33,JP,1705165158
322,haxby,54.0164,-1.0768,281.16,89,66,2.39,GB,1705165158
323,kruisfontein,-34.0033,24.7314,295.86,80,35,4.45,ZA,1705165158
324,trenggalek,-8.05,111.7167,297.75,89,82,1.42,ID,1705165158
325,taytay,14.5678,121.1394,299.29,75,75,2.57,PH,1705165159
326,entebbe,0.0644,32.4469,296.33,78,20,1.03,UG,1705164923
327,vadso,70.0744,29.7487,266.64,79,75,5.66,NO,1705165159
328,rawah,34.4816,41.9093,289.19,51,100,4.13,IQ,1705165159
329,sumbawa besar,-8.5,117.4333,297.79,79,74,2.31,ID,1705165159
330,krasnoarmeyskaya,45.3661,38.2117,266.64,71,100,3.53,RU,1705165159
331,teluk nibung,3.001,99.8164,298.23,88,100,1.64,ID,1705165160
332,micheweni,-4.9667,39.8333,300.52,84,100,5.4,TZ,1705165160
333,zarinsk,53.7074,84.9493,258.37,87,82,1.83,RU,1705165160
334,sao vicente,-23.9631,-46.3919,299.81,70,100,1.54,BR,1705165160
335,mahavelona,-17.6848,49.5087,300.14,69,93,4.98,MG,1705165161
336,dubbo,-32.25,148.6167,297.22,57,66,5.66,AU,1705165161
337,santo augusto,-27.8508,-53.7772,302.9,61,25,1.77,BR,1705165161
338,prince rupert,54.3161,-130.3201,266.98,62,100,3.09,CA,1705164912
339,howard springs,-12.497,131.047,300.86,96,100,5.42,AU,1705165161
340,pathein,16.7833,94.7333,292.05,88,2,2.98,MM,1705165162
341,jahanabad,25.2167,84.9833,286.06,46,16,1.95,IN,1705165162
342,svetlyy,54.675,20.1347,273.18,98,100,7.66,RU,1705165162
343,portland,45.5234,-122.6762,266.73,79,100,16.98,US,1705164957
344,zayed city,24.3768,54.589,297.04,56,0,2.57,AE,1705165163
345,aktau,43.65,51.2,265.47,56,97,6.93,KZ,1705165163
346,gobabis,-22.45,18.9667,304.13,26,80,6.8,NA,1705165164
347,ulladulla,-35.35,150.4667,292.47,84,99,3.91,AU,1705165164
348,ta`u,-14.2336,-169.5144,299.51,87,100,8.15,AS,1705165164
349,kyosai,34.8503,128.5886,272.13,57,2,1.15,KR,1705165164
350,timmins,48.4669,-81.3331,259.05,72,100,8.75,CA,1705164948
351,phan thiet,10.9333,108.1,294.86,83,36,3.77,VN,1705165165
